condition,variant,requested_poison_rate,actual_poison_rate,n,asr,correct_answer_rate,retrieval_success_rate,avg_poison_in_topk,avg_poison_topk_share
clean,clean,0.0,0.0,50,0.1,0.66,0.0,0.0,0.0
authority_1.00%,authority,0.01,0.010000000000000004,50,0.64,0.52,0.76,0.76,0.15200000000000008
instruction_aware_1.00%,instruction_aware,0.01,0.010000000000000004,50,0.64,0.5,0.74,0.74,0.14800000000000008
original_1.00%,original,0.01,0.010000000000000004,50,0.84,0.46,0.98,0.98,0.19599999999999995
query_first_instruction_aware_1.00%,query_first_instruction_aware,0.01,0.010000000000000004,50,0.84,0.42,0.96,0.96,0.19199999999999995
authority_3.00%,authority,0.03,0.030000000000000023,50,0.76,0.42,0.82,2.18,0.4360000000000001
instruction_aware_3.00%,instruction_aware,0.03,0.030000000000000023,50,0.7,0.28,0.76,2.04,0.40800000000000003
original_3.00%,original,0.03,0.030000000000000023,50,0.88,0.34,1.0,2.88,0.5760000000000004
query_first_instruction_aware_3.00%,query_first_instruction_aware,0.03,0.030000000000000023,50,0.9,0.28,1.0,2.78,0.5560000000000005
authority_5.00%,authority,0.05,0.04999999999999998,50,0.84,0.2,0.86,3.44,0.688
instruction_aware_5.00%,instruction_aware,0.05,0.04999999999999998,50,0.78,0.26,0.8,2.92,0.5840000000000001
original_5.00%,original,0.05,0.04999999999999998,50,0.9,0.16,1.0,4.6,0.9199999999999998
query_first_instruction_aware_5.00%,query_first_instruction_aware,0.05,0.04999999999999998,50,0.94,0.06,1.0,4.38,0.8760000000000001
authority_10.00%,authority,0.1,0.09999999999999996,50,0.82,0.18,0.86,3.44,0.688
instruction_aware_10.00%,instruction_aware,0.1,0.09999999999999996,50,0.82,0.24,0.8,2.92,0.5840000000000001
original_10.00%,original,0.1,0.09999999999999996,50,0.92,0.16,1.0,4.6,0.9199999999999998
query_first_instruction_aware_10.00%,query_first_instruction_aware,0.1,0.09999999999999996,50,0.94,0.08,1.0,4.38,0.8760000000000001
