dataset,model_label,variant,0.0001,0.0005,0.001,0.005
hotpotqa,llama3.1:8b,original,4.98,5.0,5.0,5.0
hotpotqa,llama3.1:8b,query_first_instruction_aware,4.98,4.98,4.98,4.98
hotpotqa,mistral:7b,original,4.98,5.0,5.0,5.0
hotpotqa,mistral:7b,query_first_instruction_aware,4.98,4.98,4.98,4.98
hotpotqa,qwen3.5:9b,original,4.98,5.0,5.0,5.0
hotpotqa,qwen3.5:9b,query_first_instruction_aware,4.98,4.98,4.98,4.98
msmarco,llama3.1:8b,original,4.7,4.9,4.9,4.9
msmarco,llama3.1:8b,query_first_instruction_aware,4.5,4.5,4.5,4.5
msmarco,mistral:7b,original,4.82,4.96,4.96,4.96
msmarco,mistral:7b,query_first_instruction_aware,4.54,4.72,4.72,4.72
msmarco,qwen3.5:9b,original,4.7,4.9,4.9,4.9
msmarco,qwen3.5:9b,query_first_instruction_aware,4.5,4.5,4.5,4.5
nq,llama3.1:8b,original,2.94,4.98,5.0,5.0
nq,llama3.1:8b,query_first_instruction_aware,2.48,4.28,4.42,4.42
nq,mistral:7b,original,2.98,4.98,5.0,5.0
nq,mistral:7b,query_first_instruction_aware,2.76,4.62,4.74,4.74
nq,qwen3.5:9b,original,2.94,4.98,5.0,5.0
nq,qwen3.5:9b,query_first_instruction_aware,2.48,4.28,4.42,4.42
